species	taxon	refseq	_
A	129875	NC_001460.1	_
B	108098	NC_011203.1	_
C	129951	NC_001405.1	_
D	130310	NC_010956.1	_
E	130308	NC_003266.2	_
F	130309	NC_001454.1	_
G	536079	NC_006879.1	_
